天気,気温,湿度,睡眠,講義,頭痛
晴れ,寒い,低い,寝過ぎ,あり,yes
曇り,暑い,高い,普通,なし,yes
晴れ,暑い,低い,寝過ぎ,なし,no
雨,適温,高い,寝不足,あり,no
雨,寒い,高い,普通,なし,no
晴れ,適温,適当,普通,あり,yes
曇り,暑い,低い,寝不足,あり,no
雨,寒い,高い,寝過ぎ,なし,no
曇り,適温,低い,寝過ぎ,あり,yes
曇り,適温,適当,寝不足,なし,no
晴れ,暑い,適当,普通,あり,yes
晴れ,適温,高い,普通,なし,no
雨,暑い,低い,寝過ぎ,なし,no
雨,暑い,適当,寝過ぎ,あり,yes
曇り,適温,低い,普通,あり,no
晴れ,暑い,適当,寝不足,なし,yes
晴れ,寒い,高い,寝過ぎ,あり,yes
曇り,適温,高い,普通,あり,no
曇り,適温,適当,普通,なし,no
雨,寒い,適当,普通,なし,yes
晴れ,寒い,低い,普通,なし,no
雨,適温,高い,寝不足,あり,yes
曇り,暑い,適当,普通,あり,no
晴れ,暑い,高い,寝過ぎ,なし,yes
晴れ,適温,適当,寝過ぎ,なし,yes
